,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,Temporada,Equipe
1,2023-08-19,15:30,Bundesliga,Rodada da semana 1,sáb,Em casa,V,3.0,2.0,RB Leipzig,1.4,1.6,44.0,29.464,Lukáš Hrádecký,3-4-2003,Felix Brych,Relatório da Partida,,11.0,7.0,190.0,0.0,2024,Bayer Leverkusen
2,2023-08-26,18:30,Bundesliga,Rodada da semana 2,sáb,Visitante,V,3.0,0.0,M'Gladbach,2.7,0.9,60.0,54.042,Lukáš Hrádecký,3-4-2003,Christian Dingert,Relatório da Partida,,24.0,11.0,158.0,0.0,2024,Bayer Leverkusen
3,2023-09-02,15:30,Bundesliga,Rodada da semana 3,sáb,Em casa,V,5.0,1.0,Darmstadt 98,2.8,0.4,72.0,29.653,Lukáš Hrádecký,3-4-2003,Sven Jablonski,Relatório da Partida,,25.0,13.0,173.0,1.0,2024,Bayer Leverkusen
4,2023-09-15,20:30,Bundesliga,Rodada da semana 4,sex,Visitante,E,2.0,2.0,Bayern Munich,2.1,2.1,49.0,75.0,Lukáš Hrádecký,3-4-2003,Daniel Schlager,Relatório da Partida,,12.0,4.0,207.0,1.0,2024,Bayer Leverkusen
6,2023-09-24,15:30,Bundesliga,Rodada da semana 5,dom,Em casa,V,4.0,1.0,Heidenheim,3.4,0.5,71.0,29.557,Lukáš Hrádecký,3-4-2003,Christian Dingert,Relatório da Partida,,20.0,9.0,167.0,0.0,2024,Bayer Leverkusen
7,2023-09-30,15:30,Bundesliga,Rodada da semana 6,sáb,Visitante,V,3.0,0.0,Mainz 05,1.1,0.5,55.0,33.305,Lukáš Hrádecký,3-4-2003,Benjamin Brand,Relatório da Partida,,6.0,3.0,206.0,2.0,2024,Bayer Leverkusen
9,2023-10-08,15:30,Bundesliga,Rodada da semana 7,dom,Em casa,V,3.0,0.0,Köln,3.2,1.3,64.0,30.21,Lukáš Hrádecký,3-4-2003,Felix Zwayer,Relatório da Partida,,23.0,10.0,166.0,0.0,2024,Bayer Leverkusen
10,2023-10-21,15:30,Bundesliga,Rodada da semana 8,sáb,Visitante,V,2.0,1.0,Wolfsburg,1.9,1.4,58.0,28.917,Lukáš Hrádecký,3-4-2003,Marco Fritz,Relatório da Partida,,13.0,7.0,141.0,0.0,2024,Bayer Leverkusen
12,2023-10-29,17:30,Bundesliga,Rodada da semana 9,dom,Em casa,V,2.0,1.0,Freiburg,1.4,0.9,70.0,30.21,Lukáš Hrádecký,3-4-2003,Daniel Siebert,Relatório da Partida,,18.0,4.0,205.0,1.0,2024,Bayer Leverkusen
14,2023-11-04,15:30,Bundesliga,Rodada da semana 10,sáb,Visitante,V,3.0,2.0,Hoffenheim,1.0,1.7,53.0,30.15,Lukáš Hrádecký,3-4-2003,Frank Willenborg,Relatório da Partida,,9.0,5.0,178.0,0.0,2024,Bayer Leverkusen
16,2023-11-12,15:30,Bundesliga,Rodada da semana 11,dom,Em casa,V,4.0,0.0,Union Berlin,2.4,0.0,69.0,29.387,Lukáš Hrádecký,3-4-2003,Timo Gerach,Relatório da Partida,,18.0,10.0,156.0,1.0,2024,Bayer Leverkusen
17,2023-11-25,15:30,Bundesliga,Rodada da semana 12,sáb,Visitante,V,3.0,0.0,Werder Bremen,1.0,0.2,59.0,42.1,Lukáš Hrádecký,3-4-2003,Martin Petersen,Relatório da Partida,,14.0,4.0,168.0,0.0,2024,Bayer Leverkusen
19,2023-12-03,17:30,Bundesliga,Rodada da semana 13,dom,Em casa,E,1.0,1.0,Dortmund,2.1,0.7,69.0,30.21,Lukáš Hrádecký,3-4-2003,Daniel Siebert,Relatório da Partida,,23.0,6.0,203.0,1.0,2024,Bayer Leverkusen
21,2023-12-10,15:30,Bundesliga,Rodada da semana 14,dom,Visitante,E,1.0,1.0,Stuttgart,1.3,2.6,48.0,54.5,Lukáš Hrádecký,3-4-2003,Deniz Aytekin,Relatório da Partida,,18.0,5.0,149.0,0.0,2024,Bayer Leverkusen
23,2023-12-17,17:30,Bundesliga,Rodada da semana 15,dom,Em casa,V,3.0,0.0,Eint Frankfurt,2.5,0.2,61.0,30.21,Lukáš Hrádecký,3-4-2003,Christian Dingert,Relatório da Partida,,14.0,5.0,161.0,1.0,2024,Bayer Leverkusen
24,2023-12-20,20:30,Bundesliga,Rodada da semana 16,qua,Em casa,V,4.0,0.0,Bochum,3.3,0.4,69.0,30.21,Lukáš Hrádecký,3-4-1-2,Daniel Schlager,Relatório da Partida,,15.0,7.0,139.0,0.0,2024,Bayer Leverkusen
25,2024-01-13,15:30,Bundesliga,Rodada da semana 17,sáb,Visitante,V,1.0,0.0,Augsburg,2.0,0.4,76.0,30.055,Lukáš Hrádecký,3-4-1-2,Sven Jablonski,Relatório da Partida,,24.0,6.0,179.0,0.0,2024,Bayer Leverkusen
26,2024-01-20,18:30,Bundesliga,Rodada da semana 18,sáb,Visitante,V,3.0,2.0,RB Leipzig,2.0,1.6,60.0,46.529,Lukáš Hrádecký,3-4-2003,Matthias Jöllenbeck,Relatório da Partida,,18.0,5.0,158.0,0.0,2024,Bayer Leverkusen
27,2024-01-27,18:30,Bundesliga,Rodada da semana 19,sáb,Em casa,E,0.0,0.0,M'Gladbach,2.9,0.3,75.0,30.21,Robert Andrich,3-4-2003,Deniz Aytekin,Relatório da Partida,,28.0,9.0,188.0,0.0,2024,Bayer Leverkusen
28,2024-02-03,15:30,Bundesliga,Rodada da semana 20,sáb,Visitante,V,2.0,0.0,Darmstadt 98,1.9,0.6,67.0,17.81,Lukáš Hrádecký,3-4-2003,Tobias Reichel,Relatório da Partida,,20.0,7.0,181.0,0.0,2024,Bayer Leverkusen
30,2024-02-10,18:30,Bundesliga,Rodada da semana 21,sáb,Em casa,V,3.0,0.0,Bayern Munich,1.3,0.6,39.0,30.21,Lukáš Hrádecký,3-4-2003,Felix Zwayer,Relatório da Partida,,14.0,8.0,164.0,0.0,2024,Bayer Leverkusen
31,2024-02-17,15:30,Bundesliga,Rodada da semana 22,sáb,Visitante,V,2.0,1.0,Heidenheim,1.9,0.4,61.0,15.0,Lukáš Hrádecký,3-4-1-2,Harm Osmers,Relatório da Partida,,18.0,3.0,157.0,0.0,2024,Bayer Leverkusen
32,2024-02-23,20:30,Bundesliga,Rodada da semana 23,sex,Em casa,V,2.0,1.0,Mainz 05,1.2,0.9,67.0,30.21,Lukáš Hrádecký,3-4-2003,Timo Gerach,Relatório da Partida,,17.0,7.0,201.0,1.0,2024,Bayer Leverkusen
